Company,Industry,Stage,Country,Market Condition,Remote Policy,Company Size,Company Age,Location HQ(Encoded),Funds Raised ($M),Revenue ($M),Burn Rate,Industry Growth (%),Year,Month,Actual Layoffs
QuantumVentures,Construction,Series G,Bahrain,Recovery,Office,1546,17,135,648.1,393.45,17,0.017,2021,8,293
AIInnovations,Unknown,Series B,Hungary,Recovery,Hybrid,146,4,34,35.9,19.41,18,0.014,2024,8,45
AIGroup,Travel,Subsidiary,Ukraine,Stable,Hybrid,6514,46,114,580.8,1541.86,10,0.019,2024,1,1177
SmartGroup,Logistics,Acquired,Austria,Recession,Office,2516,29,122,501.7,694.49,12,0.002,2020,3,470
TechTechnologies,Data,Post-IPO,Australia,Growth,Hybrid,11304,47,212,2754.9,4510.66,10,-0.008,2021,11,2241
GlobalSolutions,Energy,Unknown,Chile,Recovery,Remote,965,6,197,66.1,219.85,19,0.063,2021,5,165
Metigy,Consumer,Seed,Canada,Recovery,Hybrid,32,1,230,2.2,10.67,18,0.011,2021,3,5
Jellysmack,Unknown,Series F,Egypt,Stable,Hybrid,1251,9,37,440.2,281.18,12,0.006,2022,2,144
DigitalTechnologies,Legal,Series D,Hong Kong,Recovery,Office,395,7,92,172.4,112.93,15,0.031,2024,3,115
QuantumDynamics,Security,Seed,Colombia,Recession,Office,37,2,24,3.1,7.05,19,0.004,2023,3,7
QuantumInc,Consumer,Series H,Colombia,Recovery,Remote,1229,19,24,873.3,322.94,19,0.053,2024,4,155
TechInc,AI,Series G,Poland,Recovery,Hybrid,1667,9,228,739.6,547.15,14,-0.063,2024,10,562
DigitalInnovations,Support,Private Equity,Mexico,Recession,Hybrid,5352,20,82,1546.3,2018.76,11,0.067,2020,11,562
TechVentures,Product,Series I,Czech Republic,Downturn,Hybrid,2075,14,31,1559.9,706.19,8,0.008,2022,9,321
Tackle,AI,Series B,Portugal,Stable,Hybrid,183,3,51,28,71.18,12,-0.098,2022,3,31
ApexTechnologies,Energy,Series I,Brazil,Downturn,Hybrid,1578,21,177,1482.1,409.41,16,-0.02,2022,8,136
TechInnovations,Marketing,Post-IPO,South Africa,Recovery,Hybrid,4275,11,39,1986.5,1667.48,20,-0.045,2021,8,723
NexusInnovations,Media,Series C,Lithuania,Recession,Remote,327,5,226,66.3,100.58,10,-0.003,2023,6,45
CloudSystems,Crypto,Post-IPO,China,Recession,Remote,8585,48,16,2490.1,1254.28,11,-0.075,2023,1,915
AISolutions,Healthcare,Series C,Russia,Recovery,Remote,231,8,149,83.6,56.47,15,0.064,2021,3,70
TwinStrand,Travel,Series J,Ghana,Stable,Office,2722,21,1,1972.6,1001.75,9,-0.046,2022,2,633
Vezeeta,Manufacturing,Seed,Pakistan,Recovery,Office,46,3,116,2.7,6.13,12,-0.043,2024,3,10
GlobalTechnologies,Retail,Series A,Lithuania,Recovery,Remote,52,2,226,6.7,13.76,15,-0.066,2021,6,10
AIVentures,Product,Subsidiary,Brazil,Recession,Office,6715,41,17,500.4,2157.22,15,-0.048,2023,8,737
SmartDynamics,Aerospace,Subsidiary,Nigeria,Stable,Hybrid,3783,15,96,1000.9,1021.85,14,-0.059,2024,1,1149
DigitalInnovations,Media,Private Equity,Malaysia,Recovery,Hybrid,8110,19,113,1083.2,1700.57,13,-0.03,2024,4,1758
Sisense,Transportation,Series I,Ireland,Recession,Office,2000,15,54,1258.3,544.15,9,-0.009,2023,9,705
CloudSolutions,Retail,Series J,Lithuania,Stable,Hybrid,3015,23,226,1297.3,1081.74,10,0.008,2020,1,312
DataSolutions,Healthcare,Series D,Germany,Recovery,Remote,561,11,109,163.5,149.21,15,-0.019,2024,9,147
DigitalInc,Real Estate,Series J,Ireland,Recovery,Hybrid,2469,23,64,2013.6,535.97,23,-0.087,2024,5,618
PharmEasy,Construction,Series G,Myanmar,Recession,Remote,1154,17,236,784.8,172.01,18,0.017,2023,9,393
ApexInc,Finance,Subsidiary,Hong Kong,Stable,Hybrid,6388,45,92,775.6,1919.37,15,-0.059,2022,1,867
CloudVentures,Infrastructure,Private Equity,Senegal,Recession,Office,3216,32,57,846.7,1431.33,13,-0.045,2023,1,544
Zinier,Sales,Series J,Romania,Recovery,Hybrid,2734,14,50,1653.3,897.73,13,-0.001,2024,12,345
SmartInc,Manufacturing,Post-IPO,Spain,Recession,Remote,5200,40,132,2766.3,609.52,20,-0.01,2020,7,549
ApexTechnologies,Energy,Series F,Portugal,Stable,Hybrid,856,13,123,458.4,319.09,20,0.006,2022,1,112
Sojern,Travel,Unknown,France,Stable,Office,1664,16,219,58.7,752.5,12,0.001,2022,3,460
SmartDynamics,Marketing,Post-IPO,Bulgaria,Stable,Office,10173,26,206,3847.9,3130.24,14,-0.001,2020,1,2716
Euler Motors,Hardware,Series B,Portugal,Recovery,Hybrid,242,6,123,17.8,68.74,14,0.016,2024,12,47
QuantumGroup,HR,Acquired,Sweden,Growth,Hybrid,1707,21,168,263.9,613.93,14,0.016,2021,12,318
ApexInc,Marketing,Series H,Cayman Islands,Downturn,Remote,1927,18,40,873.9,481.18,13,0.008,2022,11,214
Gro Intelligence,Data,Series D,Austria,Recovery,Hybrid,680,5,122,121.3,216.01,9,0.003,2021,1,175
QuantumLabs,Crypto,Series J,Hong Kong,Recovery,Remote,2178,21,92,1510.8,414.86,15,-0.025,2024,8,293
SmartInc,Consumer,Series C,Uruguay,Recession,Hybrid,279,8,147,86.2,45.91,13,-0.035,2023,1,28
AISystems,Healthcare,Series C,Malaysia,Recession,Office,481,4,113,97.1,210.72,15,0.02,2020,12,109
CloudTechnologies,Real Estate,Series I,France,Recovery,Remote,1987,12,171,1131.3,558.6,14,-0.099,2024,8,228
Dash,Healthcare,Series A,Hong Kong,Recovery,Office,73,2,92,9.2,30.96,18,0.033,2024,8,11
AIDynamics,Fitness,Series H,France,Stable,Office,2129,14,219,839.2,417.41,10,0.049,2023,12,622
TechDynamics,Construction,Series G,Ghana,Recession,Office,1154,16,1,822.6,251.71,8,0.004,2020,8,220
Jane,Fitness,Post-IPO,Pakistan,Stable,Office,9145,12,116,3510.1,2975.49,22,-0.053,2020,2,1124
TechTechnologies,Support,Series F,Nigeria,Recovery,Hybrid,1225,10,96,353.2,313.64,15,-0.007,2024,4,265
Presto,Construction,Series G,Japan,Recovery,Office,1388,12,217,792.3,305.78,21,-0.006,2024,5,105
ApexInnovations,Data,Series E,Myanmar,Recovery,Remote,722,13,236,323.1,136.73,9,0.028,2021,6,179
Kapten / Free Now,Food,Series H,Malaysia,Stable,Office,1746,14,113,1116.4,590.08,13,-0.018,2022,2,293
Sales Boomerang,HR,Series B,Finland,Recession,Office,185,6,90,31.6,58.4,16,-0.062,2020,10,68
GlobalSolutions,Unknown,Series C,Saudi Arabia,Downturn,Hybrid,236,9,186,51.2,44.06,13,0.046,2022,8,51
OPay,Data,Post-IPO,Belgium,Recovery,Hybrid,7070,32,32,1787.4,902.28,22,0.038,2024,8,1425
QuantumCorp,Product,Post-IPO,Australia,Stable,Office,5206,29,138,3419.2,1679.46,9,-0.048,2023,10,486
CloudSystems,Retail,Series E,Luxembourg,Stable,Hybrid,998,13,130,266.4,390.34,11,0.01,2020,1,221
GlobalGroup,Aerospace,Series I,Argentina,Recession,Hybrid,2408,15,35,1669.2,829.93,15,-0.008,2020,4,487
SmartInc,Security,Series A,Seychelles,Recession,Hybrid,61,3,163,11.1,10.66,14,-0.066,2020,8,13
CTO.ai,Real Estate,Series A,United Kingdom,Recovery,Hybrid,112,5,136,9,51.24,10,-0.064,2024,8,16
Springlane,Hardware,Series F,Ghana,Recession,Office,1172,12,1,452,301.3,18,0.003,2023,2,454
Drop,Construction,Series H,Malaysia,Recovery,Hybrid,1817,14,113,1058.2,703.52,18,-0.009,2024,7,381
Roofstock,Healthcare,Series H,United Kingdom,Growth,Office,1088,17,189,1182.7,250.37,11,0.005,2021,10,103
NexusGroup,Retail,Subsidiary,Ukraine,Recession,Remote,1298,43,114,469.4,176.77,15,0.05,2023,6,125
AIInnovations,Education,Series C,Chile,Recovery,Office,260,6,197,63.6,86.49,12,-0.001,2024,6,53
DataVentures,Construction,Post-IPO,Estonia,Recovery,Office,8350,13,213,3755,1473.86,18,-0.028,2024,6,1803
DigitalLabs,Healthcare,Series J,Russia,Downturn,Remote,2324,20,149,1609.5,906.98,18,0.087,2022,8,683
Banxa,Unknown,Post-IPO,Cayman Islands,Downturn,Office,7984,30,40,3657.9,2248.87,11,0.007,2022,12,884
GlobalInc,Product,Subsidiary,Egypt,Downturn,Hybrid,4997,7,37,884.5,1496.74,7,0.029,2022,4,1326
Tuft & Needle,Legal,Series G,Argentina,Growth,Remote,1403,14,35,548.5,441.33,9,-0.077,2021,10,485
DataTechnologies,Security,Private Equity,South Africa,Stable,Remote,6384,15,39,1600.1,2492.15,13,-0.06,2024,2,989
GlobalInc,Crypto,Series A,Hong Kong,Recession,Hybrid,97,2,92,11.9,17.45,11,-0.092,2023,1,15
Havenly,Food,Series C,United Arab Emirates,Recovery,Hybrid,363,9,63,65.5,145.86,11,0.067,2024,5,70
GlobalCorp,Healthcare,Series E,Indonesia,Recovery,Office,783,13,101,213.5,203.16,7,0.045,2021,7,227
SmartVentures,Crypto,Series H,Netherlands,Downturn,Office,1853,11,222,1273,408.54,7,-0.04,2022,12,366
SmartCorp,Media,Private Equity,Romania,Recovery,Remote,5715,20,50,822.9,2170.98,13,0.004,2024,7,1731
Zscaler,Construction,Series D,Bulgaria,Downturn,Office,348,9,206,153.1,84.56,10,-0.01,2022,9,117
SmartDynamics,Support,Series A,United Arab Emirates,Recession,Hybrid,99,3,63,9.9,11.21,8,-0.034,2020,3,33
CloudSystems,Logistics,Seed,Colombia,Recovery,Hybrid,30,2,24,1.6,7.89,10,-0.029,2024,9,1
Grammarly,Hardware,Series D,Singapore,Recovery,Remote,587,9,205,177.5,187.02,11,0.016,2024,9,220
ApexVentures,Other,Series C,Cayman Islands,Recovery,Hybrid,344,5,40,75.5,98.99,19,0.02,2024,9,80
AISolutions,Construction,Series D,Czech Republic,Recovery,Remote,661,7,178,156.8,215.04,13,-0.015,2024,4,161
ApexCorp,Legal,Unknown,Myanmar,Recession,Hybrid,954,9,236,39.7,363.14,19,0.002,2020,10,220
CloudVentures,Logistics,Series G,New Zealand,Recovery,Office,1585,10,231,467.7,407.38,11,-0.019,2024,5,525
Doubtnut,Education,Series G,Norway,Stable,Hybrid,940,11,168,533.7,222.86,9,0.031,2023,12,180
SmartSolutions,Data,Acquired,Kenya,Recession,Remote,4570,17,152,311.5,1240.76,13,0.032,2020,7,687
Analog Devices,Finance,Series I,Colombia,Downturn,Hybrid,2277,20,24,1435.7,698.29,13,0.001,2022,7,320
ApexInnovations,Logistics,Series C,Turkey,Recovery,Hybrid,199,7,99,87.1,53.19,8,-0.068,2021,6,36
TechSystems,Infrastructure,Private Equity,Turkey,Recession,Office,5311,36,99,1092.7,1400.06,14,0.017,2020,5,569
SmartVentures,Media,Post-IPO,Estonia,Recession,Office,14383,24,213,3091.3,2056.5,21,0.022,2020,12,1375
AIInnovations,Retail,Series E,United States,Recession,Remote,949,13,170,278.6,164.56,6,0.007,2023,5,141
DataLabs,HR,Series C,Canada,Recovery,Hybrid,346,4,218,77.7,99.53,15,-0.09,2021,6,36
CipherTrace,Healthcare,Series I,Israel,Recovery,Remote,2265,11,103,1249.8,541.08,13,0.085,2021,3,307
TechVentures,Aerospace,Series B,Bahrain,Downturn,Hybrid,184,6,135,29.4,42.67,14,0.017,2022,11,50
Tidal,Unknown,Private Equity,Hong Kong,Recovery,Hybrid,2065,19,92,608,821.63,14,0.051,2024,7,519
DigitalGroup,Data,Series E,Bahrain,Recovery,Hybrid,716,12,135,357.8,131.34,8,0.033,2024,8,189
QuantumLabs,Product,Series F,Australia,Recovery,Remote,1349,10,29,484.4,372.98,12,-0.019,2024,12,198
FreshBooks,Data,Series F,Philippines,Recession,Office,893,12,137,514.3,170.15,15,0.008,2023,1,202
QuantumSystems,Travel,Series G,Senegal,Recession,Hybrid,1603,12,57,763,686.85,7,0.043,2020,4,320
AIDynamics,Construction,Series E,Cayman Islands,Recession,Office,931,13,40,214.1,231.39,10,-0.022,2020,4,241
QuantumTechnologies,Consumer,Series A,Bahrain,Downturn,Office,136,2,135,10.2,26.6,19,0.004,2022,8,38
Mythical Games,Data,Series F,Portugal,Recovery,Remote,1124,12,123,399.7,395.79,14,0.008,2021,8,251
SmartDynamics,Data,Series E,Italy,Recession,Hybrid,903,12,142,304.4,239.28,9,-0.034,2020,8,179
NexusSolutions,Aerospace,Private Equity,Japan,Recovery,Hybrid,5476,34,217,1156.6,1044.08,22,0.01,2024,6,970
AIGroup,Marketing,Series B,Uruguay,Recession,Remote,159,5,147,22.4,53.48,12,0.054,2023,9,28
SmartLabs,Travel,Seed,Ukraine,Stable,Hybrid,21,2,114,3.9,6.06,17,-0.043,2023,12,4
DataSystems,Recruiting,Series E,Poland,Recovery,Hybrid,411,11,228,261.5,102.48,12,0.053,2024,8,126
SmartInnovations,Manufacturing,Unknown,China,Recession,Office,726,13,16,88.8,315.02,10,-0.012,2023,1,95
AISystems,AI,Series B,Australia,Recession,Office,249,7,29,26.4,74.15,10,-0.039,2023,2,82
TechSystems,Marketing,Series H,Denmark,Stable,Hybrid,2070,10,53,1197.4,315.04,11,-0.001,2023,10,327
QuantumGroup,Construction,Series D,Uruguay,Recovery,Remote,424,9,147,126.8,91.59,15,-0.013,2024,7,56
Indigo,Legal,Acquired,Cayman Islands,Recession,Office,2267,24,40,477.9,569.34,12,-0.03,2023,4,696
Fareportal,Hardware,Series E,Brazil,Recovery,Remote,708,10,198,282.8,187.78,10,0.027,2024,5,171
TechSolutions,Security,Series F,Bulgaria,Recession,Office,968,9,206,335.3,229.24,13,0.043,2020,3,345
Berkeley Lights,Transportation,Series A,Kenya,Recession,Office,116,5,152,11.2,32.19,16,0.054,2023,7,12
DataTechnologies,Education,Series I,Russia,Recession,Remote,1885,12,149,1400.9,862.32,15,-0.042,2023,1,554
TechDynamics,Aerospace,Series E,Japan,Recession,Hybrid,1002,13,217,317.8,158.58,12,0.011,2023,1,214
CloudTechnologies,Manufacturing,Series F,Netherlands,Growth,Office,668,7,5,329.5,197.46,10,0.005,2021,12,120
Docly,Crypto,Series I,Israel,Recession,Office,2198,15,85,1021.8,634.49,15,-0.043,2020,6,223
GlobalTechnologies,Recruiting,Series G,Philippines,Recession,Hybrid,1471,10,137,854.9,377.64,7,-0.01,2020,9,200
NexusDynamics,Marketing,Series D,Colombia,Growth,Hybrid,602,8,24,157.4,200.89,6,0.008,2021,10,94
QuantumVentures,Fitness,Seed,Saudi Arabia,Recession,Hybrid,13,1,186,1.4,2.78,14,-0.023,2023,2,1
CloudSystems,Unknown,Series B,New Zealand,Downturn,Hybrid,221,5,231,31.5,84.84,19,0.025,2022,5,54
AICorp,Security,Series E,Russia,Recovery,Hybrid,614,7,149,326,170.07,8,-0.056,2021,2,161
NexusDynamics,Manufacturing,Series G,Malaysia,Recession,Hybrid,1139,17,113,898.3,410.79,6,0,2023,9,113
DataVentures,Construction,Subsidiary,Turkey,Recovery,Office,5622,46,99,689.4,1425.58,14,0.035,2021,6,1480
DataDynamics,Hardware,Series J,Sweden,Recession,Hybrid,2458,14,211,1508.2,826.91,13,-0.081,2023,8,425
Crehana,Sales,Series B,Chile,Downturn,Office,133,5,197,23.8,58.07,14,-0.012,2022,10,18
GlobalSolutions,Sales,Series C,Seychelles,Recession,Remote,410,8,224,76.6,114.45,9,0.023,2020,5,90
DataSystems,Food,Unknown,South Africa,Recession,Remote,1533,16,39,8,574.62,13,0.024,2023,5,211
QuantumGroup,Finance,Series D,Colombia,Recession,Remote,298,6,24,102,48.63,15,-0.013,2023,6,44
DigitalSystems,Construction,Series E,Ukraine,Recovery,Hybrid,905,12,114,257.5,110.77,10,-0.09,2024,9,194
Perx Health,Construction,Series C,Denmark,Recession,Hybrid,333,9,53,81.2,113.04,10,0.02,2023,3,65
AITechnologies,Real Estate,Subsidiary,United States,Stable,Hybrid,5323,13,198,969.5,2035.09,18,-0.044,2024,2,818
GlobalLabs,Energy,Series J,Hungary,Recovery,Remote,2533,13,34,1860.4,543.47,14,0.028,2021,1,561
AIInnovations,Real Estate,Series F,Germany,Recession,Office,846,11,86,376.1,125.51,15,0.003,2020,7,116
GlobalSolutions,Construction,Series F,Saudi Arabia,Recession,Remote,917,12,186,326.2,349.24,23,-0.014,2023,7,190
NexusInnovations,Fitness,Series E,Russia,Stable,Hybrid,853,13,149,214.4,217.97,12,0.018,2023,12,218
The Athletic,Construction,Series E,Cayman Islands,Downturn,Hybrid,1048,12,40,290.8,400.46,13,0.053,2022,5,336
ApexInnovations,Media,Series F,Senegal,Downturn,Hybrid,1050,15,57,453.3,213.92,16,0.032,2022,7,247
iFood,Fitness,Post-IPO,Egypt,Recession,Office,11017,37,37,4046.5,4088.17,15,-0.059,2020,7,2959
TechTechnologies,Fitness,Series C,Pakistan,Recovery,Remote,355,8,116,93.5,66.27,10,0.004,2021,3,48
Workable,Product,Subsidiary,Thailand,Recovery,Office,3726,42,12,1253.4,809.7,13,-0.045,2024,7,856
Datagen,Crypto,Acquired,South Africa,Recession,Office,516,13,39,433.7,126.94,15,-0.012,2023,8,63
Mainvest,Healthcare,Subsidiary,Finland,Stable,Office,5588,38,70,1036.3,2170.26,13,0.045,2020,1,666
GlobalSystems,Finance,Series D,Poland,Downturn,Hybrid,574,11,228,142.3,119.51,13,-0.052,2022,7,76
ApexVentures,Consumer,Series D,Kenya,Recovery,Hybrid,500,9,152,171.8,192.9,12,0.019,2024,9,96
Simple Feast,Unknown,Series G,Peru,Recession,Hybrid,1341,13,121,926.4,333.2,9,0.026,2023,6,412
Solidigm,Logistics,Subsidiary,Philippines,Stable,Office,4509,45,137,1144,1205.08,12,0.046,2022,1,1138
ApexInnovations,Manufacturing,Series C,Canada,Recession,Office,378,5,169,79.2,124.42,13,-0.071,2020,6,46
AIInnovations,Support,Series A,Denmark,Recovery,Hybrid,98,2,53,9.7,21.5,8,0.005,2021,4,14
AISystems,Legal,Series J,Norway,Growth,Office,2000,20,77,1897.6,267.8,17,-0.035,2021,9,517
Synctera,Hardware,Acquired,Hungary,Downturn,Hybrid,1948,21,34,344.6,477.26,19,0.012,2022,5,420
AISystems,Marketing,Series F,Uruguay,Recession,Office,1442,14,147,538.9,475.49,11,0.045,2020,7,287
AITechnologies,AI,Private Equity,Senegal,Stable,Hybrid,7922,31,57,500.1,2024.41,19,-0.025,2023,10,2167
DigitalInc,Food,Series G,Cayman Islands,Recession,Remote,1356,13,40,576.6,258.58,16,0.018,2020,5,377
SmartSolutions,Transportation,Series I,Portugal,Stable,Hybrid,2254,11,51,1437.5,398.89,8,0.034,2022,1,689
DigitalVentures,Media,Series I,Israel,Growth,Hybrid,1892,15,103,1352.2,365.25,9,-0.037,2021,12,617
NexusInc,Food,Unknown,Bahrain,Recovery,Office,431,16,135,43.2,115.97,13,0.018,2021,2,131
QuantumCorp,Retail,Seed,Indonesia,Recovery,Hybrid,42,1,101,3.2,12.8,11,-0.037,2024,9,9
DigitalLabs,Product,Series B,Myanmar,Recovery,Office,195,6,236,32.4,47.96,12,-0.064,2021,2,33
Butler Hospitality,Marketing,Series C,Russia,Recession,Office,247,8,149,77.2,58.55,18,-0.017,2023,4,34
GlobalSolutions,Recruiting,Series B,Romania,Stable,Hybrid,183,7,33,16.6,50.6,12,-0.03,2022,1,55
Coupa,Healthcare,Series I,Peru,Stable,Hybrid,1924,12,121,1299,678.77,11,0.035,2023,11,270
DataVentures,Food,Post-IPO,Greece,Growth,Remote,5671,30,7,2555.3,2262.66,9,-0.036,2021,12,872
Springbig,Fitness,Series I,Hong Kong,Recovery,Office,2710,10,92,1208.2,402.75,14,0.003,2024,3,415
Transfix,Education,Series E,Seychelles,Downturn,Hybrid,444,8,15,304.7,68.86,12,-0.036,2022,9,42
Ayoconnect,Aerospace,Series C,Japan,Recession,Hybrid,411,9,217,78.9,104.37,13,0.027,2023,4,42
SmartSolutions,Fitness,Seed,Lithuania,Downturn,Hybrid,20,2,226,1.5,4.5,19,-0.036,2022,7,2
SmartGroup,Healthcare,Series A,Seychelles,Growth,Remote,92,5,163,8.7,41.61,17,0.063,2021,9,9
AISolutions,Aerospace,Series I,Israel,Recession,Hybrid,2100,16,103,1782.7,275.47,17,0.069,2020,11,469
AICorp,Data,Acquired,Ukraine,Stable,Office,3671,12,114,776.8,920.03,9,0.051,2022,3,575
NIO,AI,Series D,Senegal,Recession,Hybrid,390,8,57,153.6,100.38,9,0.027,2023,6,83
SmartCorp,Consumer,Series J,Israel,Downturn,Hybrid,2643,12,85,1238.2,434.84,9,0.045,2022,7,712
NexusTechnologies,AI,Series G,New Zealand,Growth,Remote,1657,13,231,630.8,511.37,14,-0.024,2021,12,358
Rubicon Technologies,Manufacturing,Seed,India,Growth,Office,29,3,157,2.8,9.58,12,-0.001,2021,11,4
NexusGroup,Media,Series A,Kenya,Recovery,Office,82,5,152,8.4,30.3,21,-0.066,2024,6,17
TechLabs,Crypto,Unknown,Myanmar,Growth,Hybrid,1222,19,236,43.3,273.87,17,-0.107,2021,12,189
Zapp,HR,Series J,Bahrain,Recession,Office,2624,13,135,1504.3,601.2,16,0.061,2020,4,748
NexusSolutions,Real Estate,Private Equity,Belgium,Recession,Hybrid,6255,32,79,1593.4,1942.29,13,-0.044,2023,7,900
DataGroup,Aerospace,Acquired,Argentina,Recovery,Hybrid,2153,13,35,823.1,764.51,11,0.028,2021,1,498
Trybe,Food,Series A,Chile,Recession,Hybrid,87,2,197,12.5,26.46,13,0.021,2020,12,14
Qoala,Hardware,Post-IPO,Greece,Stable,Office,8597,40,7,1633.2,1369.32,14,0.002,2024,1,1471
DataSolutions,Support,Series A,Malaysia,Recovery,Hybrid,93,4,113,10.5,34.32,8,0.03,2021,6,27
AIInc,Aerospace,Subsidiary,India,Recovery,Hybrid,4570,19,162,811.5,1654.53,20,-0.061,2021,8,1225
GlobalTechnologies,Food,Series E,South Africa,Stable,Office,532,8,39,269.8,140.24,10,-0.021,2024,2,113
DataInnovations,Unknown,Series G,Ukraine,Recovery,Office,1222,14,114,733.4,195.27,14,-0.036,2024,5,356
Tomorrow,Product,Series F,Pakistan,Downturn,Office,1096,12,106,427.1,304.33,8,0.001,2022,9,184
Politico / Protocol,Data,Private Equity,Ireland,Downturn,Hybrid,1910,28,64,1122.7,507.7,20,0.021,2022,4,249
QuantumGroup,Marketing,Series D,Sweden,Recession,Hybrid,490,6,80,151.4,126.35,15,0.067,2023,4,99
ApexInnovations,Security,Series C,Germany,Recession,Office,254,5,67,72.8,77.99,15,0.013,2020,5,67
DigitalVentures,HR,Series J,Finland,Recovery,Remote,1682,22,90,1949.8,646.6,8,-0.013,2024,8,222
NexusSystems,HR,Private Equity,Sweden,Recession,Hybrid,6510,30,168,1611.9,1775.93,12,0.002,2020,8,1343
GlobalCorp,Logistics,Series F,Sweden,Recession,Hybrid,701,8,134,301.5,146.07,13,-0.024,2023,8,113
